Sample_ID,Country,Collection_year,Host_species,Age_group,Host_status,Lineage,cps.final,ST,adhP,pheS,atr,glnA,sdhA,glcK,tkt,aac(6')-aph(2''),ant(6-Ia),aph(3'-III),aadE,cat(pc194),catQ,ermA,ermB,ermT,lnuB,lnuC,lsaC,lsaE,mefA,msrD,tetB,tetL,tetM,tetW,tetO,tetS,alp1,alp2/3,alpha,hvgA,PI1,PI2A1,PI2A2,PI2B,rib,srr1,srr2
33816_1_49,Netherlands,2017,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
35675_1_102,Egypt,2010,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
39214_1_47,United Kingdom,2019,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
39214_1_5,United Kingdom,2020,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
40659_1_274,Bangladesh,2017,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
40659_1_284,Bangladesh,2016,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
41028_2_148,Bangladesh,2017,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
41028_2_182,Bangladesh,2016,human,infant,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
41028_2_193,Bangladesh,2017,human,infant,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
41028_2_261,Bangladesh,2016,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
41759_1_167,Argentina,2014,human,adult,invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,pos,neg,neg,neg,pos,neg
42505_1_174,South Korea,2008,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_1_205,South Korea,2006,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_1_319,Malaysia,2009,human,adult,invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_1_337,Malaysia,2009,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_1_339,Malaysia,2009,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_1_341,Malaysia,2009,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_1_38,South Korea,2007,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,pos,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_1_6,South Korea,2007,human,adult,invasive disease,10,NT,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_2_104,Philippines,2012,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_2_125,Philippines,2013,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_2_130,Turkey,2012,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_2_158,Thailand,2014,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_2_184,Malaysia,2014,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_2_199,Jordan,2011,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_2_215,South Korea,2013,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_2_254,South Korea,2010,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_2_256,South Korea,2010,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_2_312,South Korea,2013,human,adult,non-invasive disease,10,II,676,1,51,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_2_317,China,2013,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_2_319,China,2013,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_2_33,Malaysia,2010,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_2_343,Malaysia,2013,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_2_351,Malaysia,2014,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_2_371,Malaysia,2014,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_2_50,South Korea,2014,human,adult,invasive disease,10,VI,667,1,1,76,1,1,2,2,neg,pos,pos,pos,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_2_58,South Korea,2014,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
42505_2_9,Malaysia,2010,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
43009_1_106,Malaysia,2016,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
43009_1_110,Malaysia,2016,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
43009_1_174,Thailand,2017,human,adult,non-invasive disease,10,VI,1*,1,1*,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
43009_1_175,Malaysia,2015,human,adult,non-invasive disease,10,VI,370,1,1,2,1,1,1,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,pos,pos,neg
43009_1_201,South Korea,2015,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
43009_1_212,Russia,2019,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,pos,pos,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
43009_1_323,Philippines,2015,human,adult,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
